BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
106500,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106501,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106502,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106503,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106504,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106505,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106506,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106507,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106508,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106509,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106510,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106511,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106512,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106513,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106514,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106515,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106516,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106517,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106518,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106519,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106520,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106521,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106522,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106523,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106524,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106525,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106526,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106527,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106528,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106529,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106530,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106531,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106532,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106533,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106534,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106535,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106536,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106537,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106538,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106539,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106540,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106541,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106542,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106543,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106544,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106545,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106546,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106547,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106548,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106549,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106550,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106551,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106552,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106553,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106554,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106555,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106556,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106557,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106558,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106559,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106560,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
106561,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA
